Freq.	V(n008)
1.00000000000000e+03	-8.97432992947219e-11,-2.58015695606782e-08
1.02329299228075e+03	-9.72066606970577e-11,-2.76470939071644e-08
1.04712854805090e+03	-1.05333836926759e-10,-2.96246349955361e-08
1.07151930523761e+03	-1.14186232775304e-10,-3.17436377595253e-08
1.09647819614318e+03	-1.23831054595044e-10,-3.40142230170519e-08
1.12201845430196e+03	-1.34341864494846e-10,-3.64472358564794e-08
1.14815362149688e+03	-1.45799187780396e-10,-3.90542974892228e-08
1.17489755493953e+03	-1.58291178771133e-10,-4.18478608173217e-08
1.20226443461741e+03	-1.71914350621526e-10,-4.48412699824678e-08
1.23026877081238e+03	-1.86774375318046e-10,-4.80488241821269e-08
1.25892541179417e+03	-2.02986960619560e-10,-5.14858460589391e-08
1.28824955169313e+03	-2.20678811362850e-10,-5.51687549915886e-08
1.31825673855641e+03	-2.39988683272438e-10,-5.91151456389638e-08
1.34896288259165e+03	-2.61068538200716e-10,-6.33438721147234e-08
1.38038426460288e+03	-2.84084810587486e-10,-6.78751381965384e-08
1.41253754462275e+03	-3.09219795874857e-10,-7.27305940033914e-08
1.44543977074593e+03	-3.36673172651867e-10,-7.79334396055118e-08
1.47910838816821e+03	-3.66663671442528e-10,-8.35085360650153e-08
1.51356124843621e+03	-3.99430904300619e-10,-8.94825244411893e-08
1.54881661891248e+03	-4.35237370745575e-10,-9.58839533328866e-08
1.58489319246111e+03	-4.74370657077748e-10,-1.02743415571744e-07
1.62181009735893e+03	-5.17145847761381e-10,-1.10093694724268e-07
1.65958690743756e+03	-5.63908169373695e-10,-1.17969922108260e-07
1.69824365246174e+03	-6.15035889604690e-10,-1.26409745080075e-07
1.73780082874937e+03	-6.70943495971110e-10,-1.35453507403793e-07
1.77827941003892e+03	-7.32085181298938e-10,-1.45144442572041e-07
1.81970085860998e+03	-7.98958665651971e-10,-1.55528881011080e-07
1.86208713666287e+03	-8.72109387262595e-10,-1.66656472170252e-07
1.90546071796325e+03	-9.52135098179399e-10,-1.78580422568280e-07
1.94984459975804e+03	-1.03969090381232e-09,-1.91357750946567e-07
1.99526231496888e+03	-1.13549478935982e-09,-2.05049561763036e-07
2.04173794466953e+03	-1.24033368027694e-09,-2.19721338349469e-07
2.08929613085404e+03	-1.35507008852415e-09,-2.35443257151285e-07
2.13796208950223e+03	-1.48064940136546e-09,-2.52290524571788e-07
2.18776162394955e+03	-1.61810787500298e-09,-2.70343738053432e-07
2.23872113856834e+03	-1.76858140139280e-09,-2.89689273147410e-07
2.29086765276777e+03	-1.93331512323693e-09,-3.10419698450276e-07
2.34422881531992e+03	-2.11367397944597e-09,-3.32634220423201e-07
2.39883291901949e+03	-2.31115427138011e-09,-3.56439160256225e-07
2.45470891568503e+03	-2.52739634897601e-09,-3.81948465097848e-07
2.51188643150958e+03	-2.76419852552531e-09,-4.09284256139461e-07
2.57039578276886e+03	-3.02353234047904e-09,-4.38577416226274e-07
2.63026799189538e+03	-3.30755930129889e-09,-4.69968219861751e-07
2.69153480392691e+03	-3.61864924816799e-09,-5.03607008682585e-07
2.75422870333816e+03	-3.95940049942063e-09,-5.39654915706719e-07
2.81838293126445e+03	-4.33266195098084e-09,-5.78284641899511e-07
2.88403150312660e+03	-4.74155732004621e-09,-6.19681288863429e-07
2.95120922666638e+03	-5.18951174187172e-09,-6.64043251736806e-07
3.01995172040201e+03	-5.68028094896060e-09,-7.11583176688044e-07
3.09029543251359e+03	-6.21798328444199e-09,-7.62528987715293e-07
3.16227766016837e+03	-6.80713482610786e-09,-8.17124987809584e-07
3.23593656929628e+03	-7.45268792471546e-09,-8.75633039913408e-07
3.31131121482591e+03	-8.16007348998585e-09,-9.38333833509414e-07
3.38844156139202e+03	-8.93524739050778e-09,-1.00552824310680e-06
3.46736850452531e+03	-9.78474136978832e-09,-1.07753878535864e-06
3.54813389233575e+03	-1.07157189203096e-08,-1.15471118204510e-06
3.63078054770101e+03	-1.17360366010078e-08,-1.23741603669686e-06
3.71535229097172e+03	-1.28543113314918e-08,-1.32605063321417e-06
3.80189396320561e+03	-1.40799942490014e-08,-1.42104086546267e-06
3.89045144994280e+03	-1.54234517720548e-08,-1.52284330750080e-06
3.98107170553497e+03	-1.68960545784861e-08,-1.63194743481959e-06
4.07380277804112e+03	-1.85102752757236e-08,-1.74887800775801e-06
4.16869383470335e+03	-2.02797956183532e-08,-1.87419762909998e-06
4.26579518801592e+03	-2.22196242129799e-08,-2.00850948876817e-06
4.36515832240165e+03	-2.43462257439340e-08,-2.15246030950978e-06
4.46683592150962e+03	-2.66776628563604e-08,-2.30674350852708e-06
4.57088189614874e+03	-2.92337519466423e-08,-2.47210259114597e-06
4.67735141287197e+03	-3.20362342350371e-08,-2.64933479384711e-06
4.78630092322637e+03	-3.51089636330322e-08,-2.83929499531359e-06
4.89778819368445e+03	-3.84781130695913e-08,-3.04289991558477e-06
5.01187233627271e+03	-4.21724011076075e-08,-3.26113262495622e-06
5.12861383991364e+03	-4.62233408661746e-08,-3.49504738594289e-06
5.24807460249772e+03	-5.06655134674682e-08,-3.74577485343293e-06
5.37031796370252e+03	-5.55368684511793e-08,-4.01452766012081e-06
5.49540873857624e+03	-6.08790538467021e-08,-4.30260641642720e-06
5.62341325190348e+03	-6.67377788661555e-08,-4.61140615640769e-06
5.75439937337156e+03	-7.31632124825653e-08,-4.94242326363771e-06
5.88843655355588e+03	-8.02104214901190e-08,-5.29726291375035e-06
6.02559586074357e+03	-8.79398520108294e-08,-5.67764707322200e-06
6.16595001861481e+03	-9.64178588178286e-08,-6.08542309716010e-06
6.30957344480192e+03	-1.05717287294216e-07,-6.52257297227957e-06
6.45654229034654e+03	-1.15918113342371e-07,-6.99122325497201e-06
6.60693448007595e+03	-1.27108147107366e-07,-7.49365575841666e-06
6.76082975391980e+03	-1.39383806985110e-07,-8.03231904706762e-06
6.91830970918935e+03	-1.52850971057822e-07,-8.60984080162395e-06
7.07945784384136e+03	-1.67625913843499e-07,-9.22904112277685e-06
7.24435960074989e+03	-1.83836337070271e-07,-9.89294684767075e-06
7.41310241300916e+03	-2.01622504100071e-07,-1.06048069591622e-05
7.58577575029182e+03	-2.21138488638887e-07,-1.13681091746519e-05
7.76247116628690e+03	-2.42553549494422e-07,-1.21865978085627e-05
7.94328234724280e+03	-2.66053644388963e-07,-1.30642930104945e-05
8.12830516164097e+03	-2.91843097219791e-07,-1.40055114897676e-05
8.31763771102669e+03	-3.20146434697765e-07,-1.50148888465591e-05
8.51138038202374e+03	-3.51210410004464e-07,-1.60974036401919e-05
8.70963589956079e+03	-3.85306233009947e-07,-1.72584033364801e-05
8.91250938133744e+03	-4.22732028709397e-07,-1.85036322884369e-05
9.12010839355908e+03	-4.63815547893123e-07,-1.98392619182347e-05
9.33254300796989e+03	-5.08917156689986e-07,-2.12719232832063e-05
9.54992586021434e+03	-5.58433134551149e-07,-2.28087422250025e-05
9.77237220955809e+03	-6.12799313506524e-07,-2.44573773189534e-05
9.99999999999998e+03	-6.72495095171987e-07,-2.62260608603848e-05
1.02329299228075e+04	-7.38047886057939e-07,-2.81236431462938e-05
1.04712854805090e+04	-8.10037996283146e-07,-3.01596403346255e-05
1.07151930523760e+04	-8.89104051892280e-07,-3.23442861896488e-05
1.09647819614318e+04	-9.75948976679623e-07,-3.46885880508665e-05
1.12201845430196e+04	-1.07134660581364e-06,-3.72043873948273e-05
1.14815362149688e+04	-1.17614900072636e-06,-3.99044253944831e-05
1.17489755493953e+04	-1.29129454277823e-06,-4.28024139197081e-05
