time	V(n003)
0.000000000000000e+00	0.000000e+00
3.843687509984609e-09	3.743379e-02
1.153106252995383e-08	1.107279e-01
2.029779498668484e-08	1.913577e-01
2.888213712247054e-08	2.660708e-01
4.605082139404193e-08	4.027060e-01
8.038818993696788e-08	6.481936e-01
1.000000000000566e-07	7.541165e-01
1.051313160672050e-07	7.540240e-01
1.153939482015018e-07	7.135057e-01
1.359192124700953e-07	6.386060e-01
1.769697410074992e-07	5.101622e-01
2.590707980820901e-07	3.116776e-01
3.855860631399571e-07	9.897190e-02
5.191292361788735e-07	-4.145095e-02
6.806485576815995e-07	-1.385952e-01
8.617516747148803e-07	-1.967655e-01
1.061751674714777e-06	-2.236541e-01
1.261751674714673e-06	-2.244067e-01
1.461751674714570e-06	-2.054653e-01
1.661751674714466e-06	-1.716630e-01
1.861751674714363e-06	-1.272535e-01
2.061751674714259e-06	-7.650534e-02
2.261751674714155e-06	-2.367009e-02
2.458078557435401e-06	2.627107e-02
2.658078557435297e-06	7.160661e-02
2.858078557435193e-06	1.084739e-01
3.058078557435090e-06	1.347448e-01
3.258078557434986e-06	1.492392e-01
3.458078557434883e-06	1.517272e-01
3.658078557434779e-06	1.428787e-01
3.858078557434676e-06	1.241495e-01
4.058078557434572e-06	9.761915e-02
4.258078557434469e-06	6.579303e-02
4.458078557434365e-06	3.138820e-02
4.658078557434261e-06	-2.881628e-03
4.858078557434158e-06	-3.450540e-02
5.058078557434054e-06	-6.134506e-02
5.258078557433951e-06	-8.176629e-02
5.458078557433847e-06	-9.472292e-02
5.658078557433744e-06	-9.979217e-02
5.858078557433640e-06	-9.716140e-02
6.058078557433537e-06	-8.757102e-02
6.258078557433433e-06	-7.222076e-02
6.458078557433329e-06	-5.264877e-02
6.658078557433226e-06	-3.059447e-02
6.858078557433122e-06	-7.856341e-03
7.058078557433019e-06	1.384461e-02
7.258078557432915e-06	3.298590e-02
7.458078557432812e-06	4.834143e-02
7.658078557432708e-06	5.905066e-02
7.858078557432605e-06	6.465591e-02
8.058078557432501e-06	6.510744e-02
8.258078557432397e-06	6.073808e-02
8.458078557432294e-06	5.221163e-02
8.658078557432190e-06	4.045049e-02
8.858078557432087e-06	2.654948e-02
9.058078557431983e-06	1.168304e-02
9.258078557431880e-06	-2.986785e-03
9.458078557431776e-06	-1.639497e-02
9.658078557431672e-06	-2.764491e-02
9.858078557431569e-06	-3.606244e-02
1.005807855743147e-05	-4.122962e-02
1.025807855743136e-05	-4.299724e-02
1.045807855743126e-05	-4.147675e-02
1.065807855743115e-05	-3.701355e-02
1.085807855743105e-05	-3.014491e-02
1.105807855743095e-05	-2.154690e-02
1.125807855743084e-05	-1.197476e-02
1.145807855743074e-05	-2.201732e-03
1.165807855743064e-05	7.039088e-03
1.185807855743053e-05	1.510581e-02
1.205807855743043e-05	2.148851e-02
1.225807855743033e-05	2.583732e-02
1.245807855743022e-05	2.797685e-02
1.265807855743012e-05	2.790665e-02
1.285807855743002e-05	2.578883e-02
1.305807855742991e-05	2.192460e-02
1.325807855742981e-05	1.672222e-02
1.345807855742970e-05	1.065940e-02
1.365807855742960e-05	4.243177e-03
1.385807855742950e-05	-2.029413e-03
1.405807855742939e-05	-7.707207e-03
1.425807855742929e-05	-1.241484e-02
1.445807855742919e-05	-1.587496e-02
1.465807855742908e-05	-1.792167e-02
1.485807855742898e-05	-1.850482e-02
1.505807855742888e-05	-1.768548e-02
1.525807855742877e-05	-1.562352e-02
1.545807855742867e-05	-1.255887e-02
1.565807855742857e-05	-8.788159e-03
1.585807855742846e-05	-4.638879e-03
1.605807855742836e-05	-4.431106e-04
1.625807855742826e-05	3.487235e-03
1.645807855742815e-05	6.881922e-03
1.665807855742805e-05	9.529312e-03
1.685807855742794e-05	1.128776e-02
1.705807855742784e-05	1.209106e-02
1.725807855742774e-05	1.194798e-02
1.745807855742763e-05	1.093626e-02
1.765807855742753e-05	9.192014e-03
1.785807855742743e-05	6.895557e-03
1.805807855742732e-05	4.255027e-03
1.825807855742722e-05	1.489078e-03
1.845807855742712e-05	-1.189937e-03
1.865807855742701e-05	-3.591146e-03
1.885807855742691e-05	-5.557665e-03
1.905807855742681e-05	-6.975727e-03
1.925807855742670e-05	-7.779986e-03
1.945807855742660e-05	-7.954882e-03
1.965807855742649e-05	-7.532254e-03
1.985807855742639e-05	-6.585629e-03
2.005807855742629e-05	-5.221850e-03
2.025807855742618e-05	-3.570857e-03
2.045807855742608e-05	-1.774484e-03
2.065807855742598e-05	2.481430e-05
2.085807855742587e-05	1.694488e-03
2.105807855742577e-05	3.120935e-03
2.125807855742567e-05	4.216513e-03
2.145807855742556e-05	4.924139e-03
