Freq.	V(n003)
1.00000000000000e+02	-9.43310349517969e-14,-2.64435166822729e-11
1.12201845430196e+02	-1.20923901788205e-13,-3.73524616309469e-11
1.25892541179417e+02	-1.55670482974650e-13,-5.27617571147767e-11
1.41253754462275e+02	-2.01423712480235e-13,-7.45279676053140e-11
1.58489319246111e+02	-2.62209054813065e-13,-1.05273560832301e-10
1.77827941003892e+02	-3.43781849730298e-13,-1.48702872185544e-10
1.99526231496888e+02	-4.54477382939120e-13,-2.10048416725171e-10
2.23872113856834e+02	-6.06516284603555e-13,-2.96701322417159e-10
2.51188643150958e+02	-8.18020732924559e-13,-4.19101842107217e-10
2.81838293126445e+02	-1.11614356104973e-12,-5.91997237535103e-10
3.16227766016838e+02	-1.54194401869601e-12,-8.36218592030245e-10
3.54813389233575e+02	-2.15801017304745e-12,-1.18119063279818e-09
3.98107170553497e+02	-3.06040722753835e-12,-1.66847696272392e-09
4.46683592150963e+02	-4.39744771720615e-12,-2.35678785757164e-09
5.01187233627272e+02	-6.39923057582513e-12,-3.32905401053159e-09
5.62341325190348e+02	-9.42419355398591e-12,-4.70241853841637e-09
6.30957344480193e+02	-1.40325619292941e-11,-6.64235120149641e-09
7.07945784384137e+02	-2.11023395583051e-11,-9.38258551066728e-09
7.94328234724280e+02	-3.20126179996710e-11,-1.32532810697348e-08
8.91250938133744e+02	-4.89334439396713e-11,-1.87208047056951e-08
9.99999999999999e+02	-7.52844039856433e-11,-2.64439241682678e-08
1.12201845430196e+03	-1.16460403465787e-10,-3.73531862577845e-08
1.25892541179417e+03	-1.80980669453417e-10,-5.27630457102161e-08
1.41253754462275e+03	-2.82308221232971e-10,-7.45302591025006e-08
1.58489319246111e+03	-4.41731618429236e-10,-1.05277635786914e-07
1.77827941003892e+03	-6.92929941998056e-10,-1.48710118665846e-07
1.99526231496888e+03	-1.08920519385987e-09,-2.10061303154014e-07
2.23872113856833e+03	-1.71494212423365e-09,-2.96724238451204e-07
2.51188643150957e+03	-2.70376842356081e-09,-4.19142594031313e-07
2.81838293126445e+03	-4.26733576043320e-09,-5.92069707661879e-07
3.16227766016837e+03	-6.74093769324435e-09,-8.36347468237472e-07
3.54813389233575e+03	-1.06558214132948e-08,-1.18141981982261e-06
3.98107170553496e+03	-1.68538262889427e-08,-1.66888454170607e-06
4.46683592150962e+03	-2.66691476634269e-08,-2.35751269259225e-06
5.01187233627271e+03	-4.22165729901096e-08,-3.33034307206459e-06
5.62341325190348e+03	-6.68486401408709e-08,-4.70471107914128e-06
6.30957344480191e+03	-1.05880872671869e-07,-6.64642849253882e-06
7.07945784384136e+03	-1.67742599517539e-07,-9.38983722225723e-06
7.94328234724279e+03	-2.65803708228290e-07,-1.32661792118690e-05
8.91250938133743e+03	-4.21275543655767e-07,-1.87437469678788e-05
9.99999999999997e+03	-6.67819950985320e-07,-2.64847348249291e-05
1.12201845430196e+04	-1.05887704822833e-06,-3.74257879128926e-05
1.25892541179416e+04	-1.67932496447134e-06,-5.28922164925046e-05
1.41253754462275e+04	-2.66405158997241e-06,-7.47601059360979e-05
1.58489319246111e+04	-4.22757420264507e-06,-1.05686692850070e-04
1.77827941003892e+04	-6.71135619237000e-06,-1.49438265382744e-04
1.99526231496887e+04	-1.06595499222375e-05,-2.11357786223334e-04
2.23872113856833e+04	-1.69405571388955e-05,-2.99033415281510e-04
2.51188643150957e+04	-2.69427592057749e-05,-4.23257188912877e-04
2.81838293126444e+04	-4.28909686022897e-05,-5.99405102096158e-04
3.16227766016837e+04	-6.83607146572523e-05,-8.49433432511682e-04
3.54813389233574e+04	-1.09119515446705e-04,-1.20478391707495e-03
3.98107170553496e+04	-1.74514412060807e-04,-1.71064339121370e-03
4.46683592150961e+04	-2.79784368265194e-04,-2.43224787905596e-03
5.01187233627270e+04	-4.49964887541705e-04,-3.46432071351251e-03
5.62341325190347e+04	-7.26591335170403e-04,-4.94540518517553e-03
6.30957344480191e+04	-1.17945058275196e-03,-7.08001237520115e-03
7.07945784384135e+04	-1.92773617531390e-03,-1.01735763894433e-02
7.94328234724278e+04	-3.17943145300308e-03,-1.46890354160739e-02
8.91250938133742e+04	-5.30781396968076e-03,-2.13411630852481e-02
9.99999999999995e+04	-9.00832414529708e-03,-3.12591015563792e-02
1.12201845430196e+05	-1.56431111223115e-02,-4.62756913343586e-02
1.25892541179416e+05	-2.80670009198625e-02,-6.94525032345140e-02
1.41253754462275e+05	-5.28392031886783e-02,-1.05988200551361e-01
1.58489319246111e+05	-1.06995903350932e-01,-1.64149219256809e-01
1.77827941003891e+05	-2.41517361860113e-01,-2.48891272857126e-01
1.99526231496887e+05	-6.02935097493522e-01,-2.65409397120635e-01
2.23872113856833e+05	-9.82853011612713e-01,3.58596744845301e-01
2.51188643150957e+05	-4.67656586965424e-01,8.38250268165277e-01
2.81838293126444e+05	-1.23665595874591e-01,7.81568690924184e-01
3.16227766016836e+05	2.40956776740999e-02,7.02347710366813e-01
3.54813389233574e+05	1.07679434119452e-01,6.54938179298916e-01
3.98107170553495e+05	1.70080020285529e-01,6.29648279166851e-01
4.46683592150961e+05	2.25926975397394e-01,6.17025497958743e-01
5.01187233627269e+05	2.80827692429282e-01,6.10838745756855e-01
5.62341325190346e+05	3.36911015190587e-01,6.06912191177176e-01
6.30957344480190e+05	3.94658361905018e-01,6.02332249619779e-01
