Freq.	V(n003)
1.00000000000000e+02	9.99993980495660e-01,-2.15286397824003e-03
1.12201845430196e+02	9.99992939748009e-01,-2.41555080538523e-03
1.25892541179417e+02	9.99991629527383e-01,-2.71028932109686e-03
1.41253754462275e+02	9.99989980062164e-01,-3.04099003012227e-03
1.58489319246111e+02	9.99987903516123e-01,-3.41204042893442e-03
1.77827941003892e+02	9.99985289311651e-01,-3.82836314068959e-03
1.99526231496888e+02	9.99981998242399e-01,-4.29548111615344e-03
2.23872113856834e+02	9.99977855062100e-01,-4.81959075140285e-03
2.51188643150958e+02	9.99972639155336e-01,-5.40764387223564e-03
2.81838293126445e+02	9.99966072794158e-01,-6.06743964450732e-03
3.16227766016838e+02	9.99957806356279e-01,-6.80772758950564e-03
3.54813389233575e+02	9.99947399719450e-01,-7.63832301414111e-03
3.98107170553497e+02	9.99934298843994e-01,-8.57023630690189e-03
4.46683592150963e+02	9.99917806300915e-01,-9.61581770123793e-03
5.01187233627272e+02	9.99897044183123e-01,-1.07889192663088e-02
5.62341325190348e+02	9.99870907435895e-01,-1.21050760473218e-02
6.30957344480193e+02	9.99838005138926e-01,-1.35817084382185e-02
7.07945784384137e+02	9.99796586641161e-01,-1.52383480191825e-02
7.94328234724280e+02	9.99744448659268e-01,-1.70968892165848e-02
8.91250938133744e+02	9.99678818462895e-01,-1.91818692230628e-02
9.99999999999999e+02	9.99596207037487e-01,-2.15207786203801e-02
1.12201845430196e+03	9.99492224581720e-01,-2.41444050339241e-02
1.25892541179417e+03	9.99361348793796e-01,-2.70872118524636e-02
1.41253754462275e+03	9.99196634049520e-01,-3.03877534806554e-02
1.58489319246111e+03	9.98989346684762e-01,-3.40891276280171e-02
1.77827941003892e+03	9.98728508066300e-01,-3.82394635983053e-02
1.99526231496888e+03	9.98400322865964e-01,-4.28924431781046e-02
2.23872113856833e+03	9.97987464850965e-01,-4.81078471870314e-02
2.51188643150957e+03	9.97468186507204e-01,-5.39521155685756e-02
2.81838293126445e+03	9.96815211931627e-01,-6.04989014229870e-02
3.16227766016837e+03	9.95994364808077e-01,-6.78295887430742e-02
3.54813389233575e+03	9.94962875300406e-01,-7.60337286652048e-02
3.98107170553496e+03	9.93667302139263e-01,-8.52093283185610e-02
4.46683592150962e+03	9.92041000475566e-01,-9.54628980182889e-02
5.01187233627271e+03	9.90001064669843e-01,-1.06909124455670e-01
5.62341325190348e+03	9.87444682063537e-01,-1.19669987395078e-01
6.30957344480191e+03	9.84244855153902e-01,-1.33873073179109e-01
7.07945784384136e+03	9.80245494790737e-01,-1.49648759230716e-01
7.94328234724279e+03	9.75255969376687e-01,-1.67125851723609e-01
8.91250938133743e+03	9.69045332592659e-01,-1.86425161359081e-01
9.99999999999997e+03	9.61336667184229e-01,-2.07650417630088e-01
1.12201845430196e+04	9.51802298621177e-01,-2.30875884643335e-01
1.25892541179416e+04	9.40061067665191e-01,-2.56130110805513e-01
1.41253754462275e+04	9.25679400879929e-01,-2.83375511911102e-01
1.58489319246111e+04	9.08178529393190e-01,-3.12484077065115e-01
1.77827941003892e+04	8.87050735799835e-01,-3.43210540672960e-01
1.99526231496887e+04	8.61787679630749e-01,-3.75165987333113e-01
2.23872113856833e+04	8.31923228684058e-01,-4.07797014865282e-01
2.51188643150957e+04	7.97091268496237e-01,-4.40377937652927e-01
2.81838293126444e+04	7.57095238784694e-01,-4.72025267181948e-01
3.16227766016837e+04	7.11980720728869e-01,-5.01743571073446e-01
3.54813389233574e+04	6.62096345555538e-01,-5.28508353466928e-01
3.98107170553496e+04	6.08123943194804e-01,-5.51384109190693e-01
4.46683592150961e+04	5.51059229090390e-01,-5.69665381885761e-01
5.01187233627270e+04	4.92131465693381e-01,-5.83019309664055e-01
5.62341325190347e+04	4.32663171546796e-01,-5.91605325032038e-01
6.30957344480191e+04	3.73883212349055e-01,-5.96156046291638e-01
7.07945784384135e+04	3.16708853340074e-01,-5.98023948825716e-01
7.94328234724278e+04	2.61492522190963e-01,-5.99228438740083e-01
8.91250938133742e+04	2.07667527775937e-01,-6.02575109415107e-01
9.99999999999995e+04	1.53066740356678e-01,-6.11964861428030e-01
1.12201845430196e+05	9.22154400160733e-02,-6.33044248962375e-01
1.25892541179416e+05	1.12455407089633e-02,-6.74027235967268e-01
