time	V(n003)
0.000000000000000e+00	0.000000e+00
1.000000000000000e-03	0.000000e+00
1.000030000000000e-03	1.619933e-24
1.000052263494089e-03	6.692838e-24
1.000074139851221e-03	2.044480e-23
1.000100000000000e-03	4.844090e-23
1.609855422418115e-03	-4.145783e-10
2.219610844836230e-03	5.261569e-12
2.829366267254345e-03	1.259520e-09
3.439121689672460e-03	3.348196e-09
4.048877112090576e-03	6.271291e-09
4.658632534508690e-03	1.002880e-08
5.268387956926805e-03	1.462073e-08
6.620101354082333e-03	3.335102e-08
8.399781925055010e-03	7.605777e-08
1.074545218030382e-02	1.735287e-07
1.383635344696699e-02	3.959188e-07
1.791299524578434e-02	9.037241e-07
2.329130797043067e-02	2.063412e-06
3.039457437359826e-02	4.714104e-06
3.978467299352877e-02	1.077672e-05
5.221795204355893e-02	2.466039e-05
6.871184050570953e-02	5.649947e-05
9.065351114153686e-02	1.296714e-04
1.199492505998641e-01	2.983049e-04
1.592682328466325e-01	6.819450e-04
2.080963578466325e-01	1.443687e-03
2.569244828466325e-01	2.585404e-03
3.057526078466325e-01	4.189667e-03
3.545807328466325e-01	6.316585e-03
4.034088578466325e-01	9.018088e-03
4.522369828466325e-01	1.233838e-02
5.010651078466325e-01	1.631443e-02
5.498932328466325e-01	2.097633e-02
5.987213578466325e-01	2.634782e-02
6.475494828466325e-01	3.244663e-02
6.963776078466325e-01	3.928487e-02
7.452057328466325e-01	4.686950e-02
7.940338578466325e-01	5.520258e-02
8.428619828466325e-01	6.428174e-02
8.916901078466325e-01	7.410043e-02
9.405182328466325e-01	8.464836e-02
9.893463578466325e-01	9.591167e-02
1.038174482846633e+00	1.078734e-01
1.087002607846633e+00	1.205137e-01
1.184658857846633e+00	1.477378e-01
1.282315107846633e+00	1.773777e-01
1.379971357846633e+00	2.091981e-01
1.526455732846633e+00	2.604496e-01
1.672940107846633e+00	3.150974e-01
1.819424482846633e+00	3.721798e-01
1.965908857846633e+00	4.307374e-01
2.063565107846633e+00	4.706919e-01
2.161221357846633e+00	5.100544e-01
2.258877607846633e+00	5.488250e-01
2.356533857846633e+00	5.870036e-01
2.454190107846633e+00	6.245903e-01
2.551846357846633e+00	6.615850e-01
2.649502607846633e+00	6.979879e-01
2.747158857846633e+00	7.328446e-01
2.844815107846633e+00	7.660731e-01
2.942471357846633e+00	7.976733e-01
3.040127607846633e+00	8.276452e-01
3.137783857846633e+00	8.559889e-01
3.235440107846633e+00	8.827043e-01
3.333096357846633e+00	9.077914e-01
3.479580732846633e+00	9.417424e-01
3.626065107846633e+00	9.715853e-01
3.723721357846633e+00	9.892195e-01
3.821377607846633e+00	1.005078e+00
3.919033857846633e+00	1.019203e+00
3.967861982846633e+00	1.025631e+00
4.016690107846633e+00	1.031645e+00
4.065518232846633e+00	1.037254e+00
4.114346357846633e+00	1.042465e+00
4.163174482846633e+00	1.047287e+00
4.212002607846633e+00	1.051730e+00
4.260830732846633e+00	1.055802e+00
4.309658857846633e+00	1.059514e+00
4.358486982846633e+00	1.062876e+00
4.407315107846633e+00	1.065898e+00
