time	V(n003)
0.000000000000000e+00	0.000000e+00
1.000000000000000e-03	0.000000e+00
1.000030000000000e-03	3.292486e-25
1.000052263494089e-03	1.360308e-24
1.000100000000000e-03	9.845527e-24
1.848454187392822e-03	-2.275079e-10
2.696808374785645e-03	2.456194e-12
3.545162562178466e-03	6.898923e-10
4.393516749571289e-03	1.834801e-09
5.241870936964111e-03	3.437181e-09
6.090225124356933e-03	5.497033e-09
6.938579311749753e-03	8.014357e-09
8.816093026994116e-03	1.826807e-08
1.128920241096337e-02	4.166091e-08
1.454400527468102e-02	9.498318e-08
1.883120355104726e-02	2.166235e-07
2.447617139611797e-02	4.940030e-07
3.191354655792193e-02	1.126867e-06
4.171244224099037e-02	2.570697e-06
5.463071092464606e-02	5.866360e-06
7.166772491103200e-02	1.339075e-05
9.415594693322293e-02	3.058112e-05
1.238668319760282e-01	6.988004e-05
1.631781565673165e-01	1.586215e-04
2.120062815673165e-01	3.367905e-04
2.608344065673165e-01	6.077617e-04
3.096625315673165e-01	9.952349e-04
3.584906565673165e-01	1.518940e-03
4.073187815673165e-01	2.197839e-03
4.561469065673165e-01	3.050100e-03
5.049750315673165e-01	4.093080e-03
5.538031565673165e-01	5.343298e-03
6.026312815673165e-01	6.816423e-03
6.514594065673165e-01	8.527251e-03
7.002875315673165e-01	1.048969e-02
7.491156565673165e-01	1.271677e-02
7.979437815673165e-01	1.522058e-02
8.467719065673165e-01	1.801231e-02
8.956000315673165e-01	2.110223e-02
9.444281565673165e-01	2.449967e-02
9.932562815673165e-01	2.821302e-02
1.042084406567316e+00	3.224974e-02
1.090912531567316e+00	3.661635e-02
1.139740656567316e+00	4.131844e-02
1.188568781567316e+00	4.636065e-02
1.237396906567316e+00	5.174672e-02
1.286225031567316e+00	5.747945e-02
1.335053156567316e+00	6.356072e-02
1.432709406567316e+00	7.677200e-02
1.530365656567316e+00	9.137786e-02
1.628021906567316e+00	1.073618e-01
1.725678156567316e+00	1.246942e-01
1.872162531567316e+00	1.531248e-01
2.018646906567317e+00	1.842986e-01
2.165131281567317e+00	2.179687e-01
2.311615656567317e+00	2.538405e-01
2.458100031567317e+00	2.915791e-01
2.604584406567317e+00	3.308170e-01
2.702240656567317e+00	3.579248e-01
2.799896906567317e+00	3.850950e-01
2.897553156567317e+00	4.123277e-01
2.995209406567317e+00	4.396230e-01
3.092865656567317e+00	4.669807e-01
3.190521906567317e+00	4.944010e-01
3.288178156567317e+00	5.218837e-01
3.357932620853031e+00	5.411753e-01
3.427687085138746e+00	5.601401e-01
3.497441549424460e+00	5.787779e-01
3.567196013710174e+00	5.970889e-01
3.636950477995888e+00	6.150729e-01
3.706704942281603e+00	6.327301e-01
3.776459406567317e+00	6.500604e-01
3.874115656567317e+00	6.734223e-01
3.922943781567317e+00	6.847432e-01
3.971771906567317e+00	6.958107e-01
4.020600031567317e+00	7.066152e-01
4.069428156567317e+00	7.171478e-01
4.118256281567317e+00	7.274001e-01
4.167084406567317e+00	7.373641e-01
4.215912531567317e+00	7.470324e-01
4.264740656567317e+00	7.563984e-01
