time	V(n008)
0.000000000000000e+00	0.000000e+00
5.792236098928108e-10	-9.351279e-13
1.158447219785622e-09	-5.750436e-13
1.737670829678432e-09	1.080253e-12
2.316894439571243e-09	4.030762e-12
2.896118049464054e-09	8.276483e-12
3.475341659356865e-09	1.381742e-11
4.054565269249674e-09	2.065356e-11
7.785251049515982e-09	1.710333e-10
1.183386417373880e-08	6.400436e-10
1.560850981883327e-08	1.664094e-09
1.946748854394359e-08	3.819285e-09
2.409465031509052e-08	8.639068e-09
2.907587167430906e-08	1.809865e-08
3.544836492310605e-08	3.967985e-08
4.280712467743392e-08	8.412263e-08
5.203370239477596e-08	1.830759e-07
6.291954382986117e-08	3.908045e-07
7.637082232022849e-08	8.465196e-07
9.242784983318382e-08	1.689892e-06
1.000000000000566e-07	2.230961e-06
1.019677208140366e-07	2.405503e-06
1.059031624419966e-07	2.811193e-06
1.137740456979165e-07	3.808046e-06
1.295158122099731e-07	6.731479e-06
1.609993452340863e-07	1.603692e-05
1.956008318490434e-07	3.314114e-05
2.406086331194733e-07	6.960808e-05
2.899252636860868e-07	1.316404e-04
3.421511389298942e-07	2.310119e-04
4.080988392314230e-07	4.154160e-04
4.851252894215712e-07	7.283370e-04
5.820397864920827e-07	1.295150e-03
6.984582907002424e-07	2.264961e-03
8.449250533117906e-07	3.975033e-03
1.025952771031976e-06	6.861250e-03
1.258985517959416e-06	1.170523e-02
1.564778023319070e-06	1.918743e-02
2.006022742928127e-06	2.951445e-02
2.453606442075510e-06	3.542978e-02
2.913429117857354e-06	3.203081e-02
3.359042893504157e-06	1.747422e-02
3.656490264442426e-06	5.674452e-04
3.946727915905834e-06	-2.131718e-02
4.391025771590448e-06	-5.799238e-02
4.859644550080046e-06	-9.357638e-02
5.211452802260071e-06	-1.122228e-01
5.577364984117464e-06	-1.171354e-01
6.047712980059884e-06	-1.000874e-01
6.534110940461992e-06	-5.798264e-02
6.933073091169601e-06	-7.458151e-03
7.265570116586108e-06	4.145332e-02
7.631448675149682e-06	9.406012e-02
8.070156042397315e-06	1.452221e-01
8.518545615816527e-06	1.776010e-01
8.832056699219822e-06	1.822796e-01
9.198387639723681e-06	1.661156e-01
9.566181230125656e-06	1.307619e-01
9.963878986028697e-06	7.602104e-02
1.031995901415472e-05	1.866831e-02
1.064452224783436e-05	-3.497473e-02
1.096237227655853e-05	-8.161639e-02
1.145393740013779e-05	-1.335223e-01
1.200453668349271e-05	-1.613057e-01
1.240007936964571e-05	-1.579213e-01
1.273195972074730e-05	-1.388128e-01
1.305343364028455e-05	-1.099769e-01
1.341473807263817e-05	-7.107680e-02
1.380755246955623e-05	-2.682072e-02
1.408580971425794e-05	2.403306e-03
1.445456173105415e-05	3.454928e-02
1.485377025492321e-05	5.884600e-02
1.535664719412837e-05	7.434955e-02
1.580637288144896e-05	7.680100e-02
1.606916940632649e-05	7.354446e-02
1.631292923643247e-05	6.821470e-02
1.654936528511252e-05	6.222064e-02
1.693581262802090e-05	5.236894e-02
1.733293831594502e-05	4.331651e-02
1.776765704166470e-05	3.499324e-02
1.805765482141251e-05	3.020456e-02
1.834439367186897e-05	2.560693e-02
1.863756548246267e-05	2.027040e-02
1.897597016390284e-05	1.264795e-02
1.931021714816059e-05	2.928843e-03
1.984685774378899e-05	-1.612991e-02
2.023334102744037e-05	-3.126356e-02
2.058545963038046e-05	-4.475683e-02
2.093851599762751e-05	-5.608543e-02
2.125788828756460e-05	-6.237132e-02
2.173071353453958e-05	-6.342586e-02
2.220291310588499e-05	-5.504894e-02
2.265822553492087e-05	-3.857460e-02
2.301585120845998e-05	-2.133009e-02
2.333629314970167e-05	-4.386704e-03
2.365552389744173e-05	1.182125e-02
2.397288440425375e-05	2.583372e-02
2.421953709981300e-05	3.442740e-02
2.443024967655871e-05	3.961114e-02
2.462490584049333e-05	4.203432e-02
2.501421816836257e-05	4.146431e-02
2.546427609193642e-05	3.475756e-02
2.586930141182256e-05	2.450370e-02
2.627207798683111e-05	1.271929e-02
2.657036476652629e-05	4.516365e-03
2.676926232374113e-05	1.339939e-04
2.703946713993803e-05	-3.861138e-03
2.730865315265130e-05	-5.503739e-03
2.764047957425596e-05	-4.241849e-03
2.802049297670082e-05	5.546450e-04
2.836782100680861e-05	7.025710e-03
2.868689095898410e-05	1.351410e-02
2.901920438967199e-05	1.918626e-02
2.939110268238075e-05	2.239381e-02
2.984929929180985e-05	2.027031e-02
3.039670541000713e-05	9.815989e-03
3.080229429157973e-05	-2.785733e-03
3.121888915999212e-05	-1.828587e-02
3.159874103419720e-05	-3.141828e-02
3.214251828003540e-05	-4.444733e-02
3.267708913717686e-05	-4.853143e-02
3.309750037425673e-05	-4.374078e-02
3.355619511315753e-05	-3.108631e-02
3.398809586463284e-05	-1.485702e-02
3.432230337842160e-05	-9.740192e-04
3.468403607039179e-05	1.339977e-02
3.504889500838358e-05	2.557778e-02
3.541189986541520e-05	3.435926e-02
3.573779688329144e-05	3.881938e-02
3.607034335093235e-05	3.987242e-02
3.644221654955024e-05	3.766643e-02
3.679534907816639e-05	3.309590e-02
3.717386749918289e-05	2.657008e-02
3.749057653752784e-05	2.063734e-02
3.779578113387002e-05	1.518073e-02
3.828004614549901e-05	7.721978e-03
3.878391361738479e-05	1.451313e-03
3.924221512054864e-05	-3.212414e-03
3.971570211654986e-05	-7.786231e-03
4.021972411070150e-05	-1.314526e-02
4.062865284746838e-05	-1.805766e-02
4.100926136794882e-05	-2.283354e-02
4.141333633170632e-05	-2.735884e-02
4.182169556278623e-05	-3.049003e-02
4.218275987646620e-05	-3.112216e-02
4.259335498632533e-05	-2.877692e-02
4.296876882872833e-05	-2.365253e-02
4.333621333510364e-05	-1.580630e-02
4.382569772071968e-05	-2.664182e-03
4.423028980362026e-05	9.029387e-03
4.464116439525175e-05	2.018763e-02
4.501866052218748e-05	2.821910e-02
4.545806994741869e-05	3.363150e-02
4.590385960216584e-05	3.441648e-02
4.633850648770262e-05	3.059840e-02
4.678895879639175e-05	2.290538e-02
4.722618453760355e-05	1.338673e-02
4.762367164397470e-05	4.289378e-03
4.790684440739677e-05	-1.674696e-03
4.822769898925978e-05	-7.144197e-03
4.865768821827330e-05	-1.198277e-02
4.923155093253359e-05	-1.464061e-02
4.983141211889626e-05	-1.409374e-02
5.036353160699052e-05	-1.209561e-02
5.087302216778443e-05	-1.022749e-02
5.132195720638664e-05	-9.372340e-03
5.178447269064035e-05	-9.318481e-03
5.233736019663766e-05	-9.615559e-03
5.269373548029638e-05	-9.548263e-03
5.293726763086525e-05	-9.062170e-03
5.321661729211264e-05	-7.845371e-03
5.352644569922961e-05	-5.563186e-03
5.404362784535831e-05	-1.322291e-04
5.449276171440439e-05	5.614841e-03
5.489581753556389e-05	1.104107e-02
5.530030479758809e-05	1.579418e-02
5.573988018486051e-05	1.922152e-02
5.622142086805781e-05	2.019956e-02
5.673839930683453e-05	1.789878e-02
5.724325998735956e-05	1.284061e-02
5.764434566889729e-05	7.396978e-03
5.801860278400041e-05	1.845616e-03
5.835190163463121e-05	-2.882490e-03
5.867518041666230e-05	-6.699817e-03
5.921203437989206e-05	-1.101214e-02
5.980673324288040e-05	-1.308821e-02
