time	V(n003)
0.000000000000000e+00	0.000000e+00
3.843687509984609e-09	8.569271e-09
1.153106252995383e-08	5.040519e-08
1.619320153683525e-08	1.127199e-07
2.086184417750270e-08	2.446095e-07
2.592487193366425e-08	5.136650e-07
3.189783921177768e-08	1.089881e-06
3.898585107953850e-08	2.316106e-06
4.756501689284591e-08	4.964140e-06
5.789719042994385e-08	1.064351e-05
7.045671840985417e-08	2.291766e-05
8.567695402596741e-08	4.800007e-05
1.000000000000566e-07	8.161531e-05
1.055641593529413e-07	1.007966e-04
1.129830384902653e-07	1.335487e-04
1.278207967649134e-07	2.267847e-04
1.574963133139928e-07	5.198861e-04
1.939212788252577e-07	1.130508e-03
2.468372549740885e-07	2.652378e-03
3.144088842712330e-07	5.995070e-03
4.136024359443352e-07	1.437198e-02
5.531200182146926e-07	3.403504e-02
7.531200182145890e-07	7.725906e-02
9.531200182144855e-07	1.374195e-01
1.153120018214382e-06	2.137539e-01
1.353120018214278e-06	3.025656e-01
1.553120018214175e-06	3.993685e-01
1.753120018214071e-06	4.995131e-01
1.953120018213968e-06	5.986378e-01
2.153120018213864e-06	6.929701e-01
2.353120018213761e-06	7.795010e-01
2.553120018213657e-06	8.560576e-01
2.753120018213553e-06	9.212971e-01
2.953120018213450e-06	9.746426e-01
3.153120018213346e-06	1.016182e+00
3.353120018213243e-06	1.046543e+00
3.553120018213139e-06	1.066760e+00
3.753120018213036e-06	1.078145e+00
3.953120018212932e-06	1.082166e+00
4.153120018212829e-06	1.080341e+00
4.353120018212725e-06	1.074151e+00
4.553120018212621e-06	1.064970e+00
4.753120018212518e-06	1.054022e+00
4.953120018212414e-06	1.042343e+00
5.153120018212311e-06	1.030777e+00
5.553120018212104e-06	1.010354e+00
5.753120018212000e-06	1.002233e+00
5.953120018211897e-06	9.957340e-01
6.153120018211793e-06	9.908688e-01
6.353120018211689e-06	9.875544e-01
6.553120018211586e-06	9.856384e-01
6.753120018211482e-06	9.849234e-01
6.953120018211379e-06	9.851879e-01
7.153120018211275e-06	9.862044e-01
7.353120018211172e-06	9.877532e-01
7.553120018211068e-06	9.896328e-01
7.753120018210964e-06	9.916679e-01
7.953120018210861e-06	9.937124e-01
8.153120018210757e-06	9.956520e-01
8.353120018210654e-06	9.974029e-01
8.553120018210550e-06	9.989103e-01
8.753120018210447e-06	1.000145e+00
8.953120018210343e-06	1.001098e+00
9.153120018210240e-06	1.001780e+00
9.353120018210136e-06	1.002213e+00
9.553120018210032e-06	1.002427e+00
9.753120018209929e-06	1.002460e+00
9.953120018209825e-06	1.002348e+00
1.015312001820972e-05	1.002131e+00
1.035312001820962e-05	1.001844e+00
1.055312001820951e-05	1.001517e+00
1.075312001820941e-05	1.001179e+00
1.095312001820931e-05	1.000849e+00
1.135312001820910e-05	1.000277e+00
1.155312001820900e-05	1.000053e+00
1.175312001820889e-05	9.998755e-01
1.195312001820879e-05	9.997436e-01
1.215312001820869e-05	9.996547e-01
1.235312001820858e-05	9.996044e-01
1.255312001820848e-05	9.995870e-01
1.275312001820838e-05	9.995961e-01
1.295312001820827e-05	9.996255e-01
1.315312001820817e-05	9.996690e-01
1.335312001820806e-05	9.997211e-01
1.355312001820796e-05	9.997771e-01
1.375312001820786e-05	9.998330e-01
1.435312001820755e-05	9.999735e-01
1.455312001820744e-05	1.000006e+00
1.475312001820734e-05	1.000032e+00
1.495312001820724e-05	1.000049e+00
1.515312001820713e-05	1.000060e+00
1.535312001820703e-05	1.000066e+00
1.555312001820693e-05	1.000066e+00
1.575312001820682e-05	1.000062e+00
1.595312001820672e-05	1.000056e+00
1.615312001820662e-05	1.000048e+00
1.655312001820641e-05	1.000029e+00
1.675312001820630e-05	1.000020e+00
1.695312001820620e-05	1.000012e+00
1.715312001820610e-05	1.000005e+00
1.735312001820599e-05	9.999990e-01
1.755312001820589e-05	9.999943e-01
1.775312001820579e-05	9.999907e-01
1.795312001820568e-05	9.999883e-01
1.855312001820537e-05	9.999870e-01
1.915312001820506e-05	9.999906e-01
1.978169144677616e-05	9.999943e-01
2.041026287534727e-05	9.999972e-01
2.103883430391837e-05	9.999991e-01
2.166740573248947e-05	1.000000e+00
2.229597716106058e-05	1.000000e+00
2.292454858963168e-05	9.999995e-01
2.355312001820278e-05	9.999978e-01
4.995312001818911e-05	9.999980e-01
4.999999999999991e-05	9.999980e-01
