Freq.	V(n004)
3.54813389233574e+05	6.42795421915745e-01,8.10362649985606e-01
3.98107170553495e+05	7.29694349167662e-01,7.29462378171510e-01
4.46683592150961e+05	7.93688140205106e-01,6.52550815176914e-01
5.01187233627269e+05	8.41239636808621e-01,5.82062269920500e-01
5.62341325190346e+05	8.76980290546014e-01,5.18544801689564e-01
6.30957344480190e+05	9.04141122846226e-01,4.61750857751326e-01
7.07945784384134e+05	9.24978236277443e-01,4.11140667381196e-01
7.94328234724277e+05	9.41087611295804e-01,3.66100850628139e-01
8.91250938133740e+05	9.53617930928857e-01,3.26033401810271e-01
9.99999999999994e+05	9.63410560425798e-01,2.90387938487653e-01
1.12201845430196e+06	9.71091618149008e-01,2.58670028982032e-01
1.25892541179416e+06	9.77133363560042e-01,2.30439987010561e-01
1.41253754462275e+06	9.81895954232498e-01,2.05308291938132e-01
1.58489319246110e+06	9.85656486667474e-01,1.82930182583578e-01
1.77827941003891e+06	9.88629638125736e-01,1.63000414988170e-01
1.99526231496887e+06	9.90982633551829e-01,1.45248518060299e-01
2.23872113856832e+06	9.92846287515088e-01,1.29434615155137e-01
2.51188643150956e+06	9.94323270265054e-01,1.15345780293725e-01
2.81838293126443e+06	9.95494370508255e-01,1.02792867332186e-01
3.16227766016836e+06	9.96423286764878e-01,9.16077470621960e-02
3.54813389233573e+06	9.97160321679976e-01,8.16408933510470e-02
3.98107170553494e+06	9.97745248189867e-01,7.27592679006557e-02
4.46683592150960e+06	9.98209544146029e-01,6.48444613642199e-02
5.01187233627269e+06	9.98578141343343e-01,5.77910555873053e-02
5.62341325190345e+06	9.98870798691406e-01,5.15051775317594e-02
6.30957344480189e+06	9.99103182922140e-01,4.59032201354199e-02
7.07945784384133e+06	9.99287720759867e-01,4.09107091551121e-02
7.94328234724276e+06	9.99434271904923e-01,3.64612981204876e-02
8.91250938133739e+06	9.99550661148182e-01,3.24958760462432e-02
9.99999999999993e+06	9.99643099504217e-01,2.89617746317665e-02
1.12201845430195e+07	9.99716517761708e-01,2.58120634137793e-02
1.25892541179416e+07	9.99774830823685e-01,2.30049228002881e-02
1.41253754462274e+07	9.99821147297768e-01,2.05030861572686e-02
1.58489319246110e+07	9.99857935738707e-01,1.82733431843895e-02
1.77827941003891e+07	9.99887156547831e-01,1.62860977346128e-02
1.99526231496886e+07	9.99910366648887e-01,1.45149740294769e-02
2.23872113856832e+07	9.99928802574798e-01,1.29364659168390e-02
2.51188643150956e+07	9.99943446427830e-01,1.15296244263604e-02
2.81838293126443e+07	9.99955078249694e-01,1.02757794126646e-02
3.16227766016835e+07	9.99964317605476e-01,9.15829154714775e-03
3.54813389233572e+07	9.99971656605413e-01,8.16233133538734e-03
3.98107170553494e+07	9.99977486129030e-01,7.27468220509530e-03
4.46683592150959e+07	9.99982116651896e-01,6.48356503560555e-03
5.01187233627268e+07	9.99985794786549e-01,5.77848178910853e-03
5.62341325190344e+07	9.99988716419884e-01,5.15007616064180e-03
6.30957344480188e+07	9.99991037147609e-01,4.59000939203302e-03
7.07945784384132e+07	9.99992880562045e-01,4.09084959787638e-03
7.94328234724274e+07	9.99994344834943e-01,3.64597313210126e-03
8.91250938133737e+07	9.99995507946211e-01,3.24947668430072e-03
1.00000000000000e+08	9.99996431837045e-01,2.89609893795524e-03
