time	V(n005)
0.000000000000000e+00	0.000000e+00
3.843687509984609e-09	3.795883e-02
1.153106252995383e-08	1.131200e-01
2.016494963499524e-08	1.961191e-01
2.862568285167365e-08	2.753613e-01
4.554714928481363e-08	4.271849e-01
7.939008215109358e-08	7.154435e-01
1.000000000000566e-07	8.567317e-01
1.067685865732259e-07	8.673571e-01
1.203057597197812e-07	8.369915e-01
1.473801060128919e-07	7.781212e-01
2.015287985991134e-07	6.677648e-01
3.098261837715562e-07	4.737117e-01
5.098261837714526e-07	1.812568e-01
7.098261837713490e-07	-3.681570e-02
9.098261837712455e-07	-1.820222e-01
1.109826183771142e-06	-2.673538e-01
1.309826183771038e-06	-3.051246e-01
1.509826183770935e-06	-3.066963e-01
1.709826183770831e-06	-2.822598e-01
1.909826183770728e-06	-2.406853e-01
2.109826183770624e-06	-1.894427e-01
2.309826183770521e-06	-1.345896e-01
2.509826183770417e-06	-8.081853e-02
2.709826183770313e-06	-3.155162e-02
2.909826183770210e-06	1.092776e-02
3.109826183770106e-06	4.531983e-02
3.309826183770003e-06	7.114067e-02
3.509826183769899e-06	8.855210e-02
3.709826183769796e-06	9.819765e-02
3.909826183769692e-06	1.010512e-01
4.109826183769589e-06	9.828317e-02
4.309826183769485e-06	9.114651e-02
4.509826183769381e-06	8.088507e-02
4.709826183769278e-06	6.866297e-02
4.909826183769174e-06	5.551474e-02
5.109826183769071e-06	4.231397e-02
5.309826183768967e-06	2.975810e-02
5.509826183768864e-06	1.836650e-02
5.709826183768760e-06	8.489084e-03
5.909826183768657e-06	3.225381e-04
6.109826183768553e-06	-6.068357e-03
6.309826183768449e-06	-1.072662e-02
6.509826183768346e-06	-1.377815e-02
6.709826183768242e-06	-1.540751e-02
6.909826183768139e-06	-1.583568e-02
7.109826183768035e-06	-1.530050e-02
7.309826183767932e-06	-1.404032e-02
7.509826183767828e-06	-1.228114e-02
7.709826183767724e-06	-1.022711e-02
7.909826183767621e-06	-8.054225e-03
8.109826183767517e-06	-5.906906e-03
8.309826183767414e-06	-3.896978e-03
8.509826183767310e-06	-2.104649e-03
8.709826183767207e-06	-5.809798e-04
8.909826183767103e-06	6.486112e-04
9.109826183767000e-06	1.580199e-03
9.309826183766896e-06	2.226939e-03
9.509826183766792e-06	2.614673e-03
9.709826183766689e-06	2.777791e-03
9.909826183766585e-06	2.755529e-03
1.010982618376648e-05	2.588788e-03
1.030982618376638e-05	2.317552e-03
1.050982618376627e-05	1.978912e-03
1.070982618376617e-05	1.605671e-03
1.090982618376607e-05	1.225480e-03
1.110982618376596e-05	8.604397e-04
1.130982618376586e-05	5.270936e-04
1.150982618376576e-05	2.367186e-04
1.170982618376565e-05	-4.157021e-06
1.190982618376555e-05	-1.930897e-04
1.210982618376545e-05	-3.309774e-04
1.230982618376534e-05	-4.212945e-04
1.250982618376524e-05	-4.693504e-04
1.270982618376514e-05	-4.816082e-04
1.290982618376503e-05	-4.650865e-04
1.310982618376493e-05	-4.268591e-04
1.330982618376482e-05	-3.736599e-04
1.350982618376472e-05	-3.115902e-04
1.370982618376462e-05	-2.459231e-04
1.390982618376451e-05	-1.809955e-04
1.410982618376441e-05	-1.201733e-04
1.430982618376431e-05	-6.587731e-05
1.450982618376420e-05	-1.965454e-05
1.470982618376410e-05	1.771817e-05
1.490982618376400e-05	4.611109e-05
1.510982618376389e-05	6.590974e-05
1.530982618376379e-05	7.788346e-05
1.550982618376369e-05	8.306121e-05
1.570982618376358e-05	8.262008e-05
1.590982618376348e-05	7.778958e-05
1.610982618376338e-05	6.977363e-05
1.630982618376327e-05	5.969077e-05
1.670982618376306e-05	3.713302e-05
1.690982618376296e-05	2.616475e-05
1.710982618376286e-05	1.612986e-05
1.730982618376275e-05	7.372715e-06
1.750982618376265e-05	9.443937e-08
1.790982618376244e-05	-9.815813e-06
1.830982618376224e-05	-1.405593e-05
1.890982618376193e-05	-1.286119e-05
1.930982618376172e-05	-8.557145e-06
1.970982618376151e-05	-4.963868e-06
2.010982618376130e-05	-2.081359e-06
2.050982618376110e-05	9.038189e-08
2.090982618376089e-05	1.551355e-06
2.130982618376068e-05	2.301560e-06
2.170982618376048e-05	2.340998e-06
2.253839761233147e-05	1.258917e-06
2.336696904090248e-05	4.294089e-07
2.419554046947347e-05	-1.475275e-07
2.502411189804448e-05	-4.718917e-07
2.585268332661548e-05	-5.436838e-07
2.668125475518647e-05	-3.629038e-07
2.750982618375747e-05	7.044841e-08
4.990982618374587e-05	4.645599e-14
4.999999999999991e-05	5.208262e-14
