Freq.	V(n002)
5.62341325190348e+04	-1.17171914332625e-01,-6.55634408921022e-02
6.30957344480192e+04	-1.81990725429198e-01,-6.56852543343558e-02
7.07945784384136e+04	-2.74818282442024e-01,-4.05478172084132e-02
7.94328234724279e+04	-3.91476301360856e-01,3.88517127219525e-02
8.91250938133743e+04	-4.97422054209973e-01,2.07912729151127e-01
9.99999999999997e+04	-5.15339402988413e-01,4.68094715014068e-01
1.12201845430196e+05	-3.79676406068943e-01,7.38520827722936e-01
1.25892541179416e+05	-1.23354187826377e-01,9.10372452160372e-01
1.41253754462275e+05	1.59932869536116e-01,9.51967385784135e-01
1.58489319246111e+05	4.08656325085128e-01,8.98166653169064e-01
1.77827941003892e+05	6.06569462922079e-01,7.90221893791836e-01
1.99526231496887e+05	7.57108699043299e-01,6.53962500172100e-01
2.23872113856833e+05	8.67196561532808e-01,5.02746610113892e-01
2.51188643150957e+05	9.42306496468081e-01,3.43447018100862e-01
2.81838293126444e+05	9.85940388527582e-01,1.80095119907572e-01
3.16227766016837e+05	1.00011967648815e+00,1.55978762175001e-02
3.54813389233574e+05	9.85859767827867e-01,-1.47530113946084e-01
3.98107170553496e+05	9.43413590163743e-01,-3.06844227274137e-01
4.46683592150961e+05	8.72264095921841e-01,-4.59739643899706e-01
5.01187233627270e+05	7.70871706869304e-01,-6.03056576134493e-01
5.62341325190347e+05	6.36248450964259e-01,-7.32144298058695e-01
6.30957344480191e+05	4.63784189124639e-01,-8.38724049426621e-01
7.07945784384135e+05	2.48958751267566e-01,-9.06736278328551e-01
7.94328234724278e+05	-4.62925674242542e-03,-9.07157357020790e-01
8.91250938133741e+05	-2.65476371451296e-01,-8.01976118058768e-01
9.99999999999995e+05	-4.58239969675675e-01,-5.80909405484139e-01
1.12201845430196e+06	-5.10294875674521e-01,-3.12343017189590e-01
1.25892541179416e+06	-4.38007290916664e-01,-1.00508654397293e-01
1.41253754462275e+06	-3.21151584060275e-01,1.55270757237960e-02
1.58489319246111e+06	-2.16378233422015e-01,6.02978385739319e-02
1.77827941003891e+06	-1.39897664631321e-01,6.81313980016754e-02
1.99526231496887e+06	-8.87632416811331e-02,6.09819153406598e-02
2.23872113856833e+06	-5.58700195865059e-02,4.95656886418335e-02
2.51188643150957e+06	-3.50621403435031e-02,3.83374825331638e-02
2.81838293126444e+06	-2.19889364475673e-02,2.88167911514509e-02
3.16227766016836e+06	-1.37943863195405e-02,2.12789202807737e-02
3.54813389233573e+06	-8.65951871065538e-03,1.55307322814845e-02
3.98107170553495e+06	-5.44022759282097e-03,1.12454403727267e-02
4.46683592150961e+06	-3.42024661966399e-03,8.09697621582573e-03
5.01187233627269e+06	-2.15168649299192e-03,5.80639942090876e-03
5.62341325190346e+06	-1.35437973330384e-03,4.15137438235577e-03
6.30957344480190e+06	-8.52907391932251e-04,2.96145008538976e-03
7.07945784384134e+06	-5.37313359762879e-04,2.10901639039720e-03
7.94328234724277e+06	-3.38600159027716e-04,1.50000094895451e-03
8.91250938133740e+06	-2.13429696920820e-04,1.06578159867204e-03
9.99999999999994e+06	-1.34558029644660e-04,7.56671678186337e-04
1.12201845430196e+07	-8.48465650638859e-05,5.36887968760259e-04
1.25892541179416e+07	-5.35075227013935e-05,3.80762330286893e-04
1.41253754462275e+07	-3.37473843763077e-05,2.69937144840483e-04
1.58489319246110e+07	-2.12863430637327e-05,1.91312845134373e-04
1.77827941003891e+07	-1.34273536681977e-05,1.35558053583241e-04
1.99526231496887e+07	-8.47037126627614e-06,9.60345102570185e-05
2.23872113856832e+07	-5.34358218890926e-06,6.80247127490902e-05
2.51188643150956e+07	-3.37114075868658e-06,4.81788642544320e-05
2.81838293126443e+07	-2.12682957039564e-06,3.41198534413097e-05
3.16227766016836e+07	-1.34183021462300e-06,2.41616538341198e-05
3.54813389233573e+07	-8.46583222207637e-07,1.71088769360722e-05
3.98107170553494e+07	-5.34130627334537e-07,1.21142572221476e-05
4.46683592150960e+07	-3.36999970065984e-07,8.57741777203802e-06
5.01187233627269e+07	-2.12625752868975e-07,6.07301037075837e-06
5.62341325190345e+07	-1.34154345189974e-07,4.29973518447513e-06
6.30957344480189e+07	-8.46439475471776e-08,3.04418916560350e-06
7.07945784384133e+07	-5.34058573400596e-08,2.15523883061366e-06
7.94328234724275e+07	-3.36963853620582e-08,1.52585856158072e-06
8.91250938133739e+07	-2.12607650199009e-08,1.08026242566867e-06
1.00000000000000e+08	-1.34145271741644e-08,7.64788198141930e-07
