Freq.	V(n003)
1.00000000000000e-03	9.97925559249378e-01,-1.25243649221238e-02
1.12201845430196e-03	9.97905251000857e-01,-1.40524979400568e-02
1.25892541179417e-03	9.97879684423612e-01,-1.57670622488189e-02
1.41253754462275e-03	9.97847497998531e-01,-1.76907938857933e-02
1.58489319246111e-03	9.97806977672148e-01,-1.98491981455343e-02
1.77827941003892e-03	9.97755965575070e-01,-2.22708854344619e-02
1.99526231496888e-03	9.97691745104441e-01,-2.49879472620365e-02
2.23872113856834e-03	9.97610896249912e-01,-2.80363769176188e-02
2.51188643150958e-03	9.97509113457592e-01,-3.14565397936351e-02
2.81838293126445e-03	9.97380976330711e-01,-3.52936987180322e-02
3.16227766016838e-03	9.97219660952945e-01,-3.95986000266991e-02
3.54813389233575e-03	9.97016576456381e-01,-4.44281264008035e-02
3.98107170553497e-03	9.96760907471857e-01,-4.98460226569873e-02
4.46683592150963e-03	9.96439038081866e-01,-5.59237006250455e-02
5.01187233627272e-03	9.96033826576486e-01,-6.27411288540684e-02
5.62341325190348e-03	9.95523692351479e-01,-7.03878119744333e-02
6.30957344480192e-03	9.94881466255536e-01,-7.89638628506866e-02
7.07945784384137e-03	9.94072943046910e-01,-8.85811678173921e-02
7.94328234724280e-03	9.93055058667084e-01,-9.93646407633823e-02
8.91250938133744e-03	9.91773594898544e-01,-1.11453554855822e-01
9.99999999999998e-03	9.90160288510868e-01,-1.25002930179020e-01
1.12201845430196e-02	9.88129189742387e-01,-1.40184939929967e-01
1.25892541179416e-02	9.85572073976705e-01,-1.57190274788922e-01
1.41253754462275e-02	9.82352658157001e-01,-1.76229371356233e-01
1.58489319246111e-02	9.78299306267495e-01,-1.97533361227087e-01
1.77827941003892e-02	9.73195821051929e-01,-2.21354525013063e-01
1.99526231496888e-02	9.66769804658692e-01,-2.47965929065917e-01
2.23872113856833e-02	9.58677918005543e-01,-2.77659763692058e-01
2.51188643150957e-02	9.48487160286150e-01,-3.10743660104567e-01
2.81838293126445e-02	9.35650999861484e-01,-3.47533886726898e-01
3.16227766016837e-02	9.19478776173642e-01,-3.88343718129189e-01
3.54813389233574e-02	8.99096204633468e-01,-4.33464250896694e-01
3.98107170553496e-02	8.73393994849710e-01,-4.83133157657740e-01
4.46683592150962e-02	8.40960538403022e-01,-5.37483626145361e-01
5.01187233627271e-02	7.99993618097684e-01,-5.96459647131367e-01
5.62341325190347e-02	7.48186389269312e-01,-6.59672240409091e-01
6.30957344480191e-02	6.82588687807974e-01,-7.26149378623384e-01
7.07945784384135e-02	5.99468479331315e-01,-7.93893206270667e-01
7.94328234724279e-02	4.94273469849219e-01,-8.59097374340442e-01
8.91250938133742e-02	3.61998370082071e-01,-9.14822416061435e-01
9.99999999999996e-02	1.98735204982165e-01,-9.49046389542966e-01
1.12201845430196e-01	5.92742991159539e-03,-9.42886920114349e-01
1.25892541179416e-01	-2.01310127564521e-01,-8.72551906862103e-01
1.41253754462275e-01	-3.85874727404049e-01,-7.22224481422157e-01
1.58489319246111e-01	-4.97169117585420e-01,-5.08036894734552e-01
1.77827941003892e-01	-5.07473150054479e-01,-2.84958172300766e-01
1.99526231496887e-01	-4.38450869381441e-01,-1.10078870230293e-01
2.23872113856833e-01	-3.37742303583820e-01,-3.64702934907080e-03
2.51188643150957e-01	-2.41764739572756e-01,4.68609627349533e-02
2.81838293126444e-01	-1.65483817509327e-01,6.29909668937726e-02
3.16227766016836e-01	-1.10245002763078e-01,6.17562206434453e-02
3.54813389233574e-01	-7.22299351993051e-02,5.34043174024168e-02
3.98107170553495e-01	-4.68222740356665e-02,4.32332209290840e-02
4.46683592150961e-01	-3.01378924372071e-02,3.36419097228437e-02
5.01187233627270e-01	-1.93038231646114e-02,2.55152969345449e-02
5.62341325190346e-01	-1.23209851617643e-02,1.90151392250828e-02
6.30957344480190e-01	-7.84367236832761e-03,1.39954498635648e-02
7.07945784384134e-01	-4.98359628477954e-03,1.02076373768428e-02
7.94328234724277e-01	-3.16165807122700e-03,7.39474316196713e-03
8.91250938133740e-01	-2.00346920342673e-03,5.32964268624028e-03
9.99999999999994e-01	-1.26840239226462e-03,3.82625170563310e-03
1.12201845430196e+00	-8.02459128916429e-04,2.73866108261358e-03
1.25892541179416e+00	-5.07394736371324e-04,1.95562501572233e-03
1.41253754462275e+00	-3.20684056159705e-04,1.39392384985747e-03
1.58489319246110e+00	-2.02608328439041e-04,9.92134947328282e-04
1.77827941003891e+00	-1.27972694573707e-04,7.05365112670546e-04
1.99526231496887e+00	-8.08132070770704e-05,5.01040173321777e-04
2.23872113856833e+00	-5.10237134548650e-05,3.55653970981582e-04
2.51188643150956e+00	-3.22108403361946e-05,2.52314974453266e-04
2.81838293126444e+00	-2.03322133158921e-05,1.78924066785511e-04
3.16227766016836e+00	-1.28330430140585e-05,1.26836536831675e-04
3.54813389233573e+00	-8.09924969527915e-06,8.98878646891611e-05
3.98107170553495e+00	-5.11135711737504e-06,6.36888614626608e-05
4.46683592150960e+00	-3.22558761529810e-06,4.51181364723223e-05
5.01187233627269e+00	-2.03547848989090e-06,3.19579948355269e-05
5.62341325190345e+00	-1.28443557162726e-06,2.26339752819447e-05
6.30957344480189e+00	-8.10491953190273e-07,1.60289401598014e-05
7.07945784384133e+00	-5.11419879196019e-07,1.13506082169819e-05
7.94328234724276e+00	-3.22701183719022e-07,8.03729529429312e-06
8.91250938133739e+00	-2.03619229635584e-07,5.69091408886322e-06
9.99999999999992e+00	-1.28479332425738e-07,4.02938992116952e-06
1.12201845430195e+01	-8.10671255045489e-08,2.85288837093832e-06
1.25892541179416e+01	-5.11509743326733e-08,2.01985830226770e-06
1.41253754462274e+01	-3.22746222608524e-08,1.43004464736080e-06
1.58489319246110e+01	-2.03641802606510e-08,1.01244720806058e-06
1.77827941003891e+01	-1.28490645732593e-08,7.16787609214612e-07
1.99526231496886e+01	-8.10727955983720e-09,5.07463566959668e-07
2.23872113856832e+01	-5.11538161148677e-09,3.59266140698641e-07
2.51188643150956e+01	-3.22760465272348e-09,2.54346262636245e-07
2.81838293126443e+01	-2.03648940853499e-09,1.80066352046723e-07
3.16227766016835e+01	-1.28494223333136e-09,1.27478894914379e-07
3.54813389233572e+01	-8.10745886470027e-10,9.02490910274580e-08
3.98107170553494e+01	-5.11547147683145e-10,6.38919948234038e-08
4.46683592150959e+01	-3.22764969210149e-10,4.52323671552299e-08
5.01187233627268e+01	-2.03651198170205e-10,3.20222316526768e-08
5.62341325190344e+01	-1.28495354671683e-10,2.26700983826033e-08
6.30957344480188e+01	-8.10751556595309e-11,1.60492537101529e-08
7.07945784384131e+01	-5.11549989477917e-11,1.13620313830312e-08
7.94328234724274e+01	-3.22766393481555e-11,8.04371902040163e-09
8.91250938133737e+01	-2.03651911996909e-11,5.69452641901692e-09
1.00000000000000e+02	-1.28495712432532e-11,4.03142128526909e-09
