Freq.	V(n003)
6.30957344480190e+05	-1.91568829109061e-02,2.54227637789887e-02
7.07945784384134e+05	-1.22248533997881e-02,1.89384376693384e-02
7.94328234724277e+05	-7.78127191604523e-03,1.39346824365553e-02
8.91250938133740e+05	-4.94333479286404e-03,1.01608993691673e-02
9.99999999999994e+05	-3.13580248318599e-03,7.35952630091799e-03
1.12201845430196e+06	-1.98692592545999e-03,5.30349616624805e-03
1.25892541179416e+06	-1.25784807015158e-03,3.80705001191602e-03
1.41253754462275e+06	-7.95741054600186e-04,2.72467477440329e-03
1.58489319246110e+06	-5.03126267957064e-04,1.94550100243033e-03
1.77827941003891e+06	-3.17975889606018e-04,1.38663071432890e-03
1.99526231496887e+06	-2.00892066012760e-04,9.86900659338871e-04
2.23872113856832e+06	-1.26886020807090e-04,7.01619353571956e-04
2.51188643150956e+06	-8.01256594302732e-05,4.98365719223902e-04
2.81838293126443e+06	-5.05889442494984e-05,3.53747827488399e-04
3.16227766016836e+06	-3.19360394768868e-05,2.50958329701782e-04
3.54813389233573e+06	-2.01585847397270e-05,1.77959581286965e-04
3.98107170553494e+06	-1.27233698775170e-05,1.26151450401546e-04
4.46683592150960e+06	-8.02998996623759e-06,8.94015755048342e-05
5.01187233627269e+06	-5.06762675808603e-06,6.33438718112973e-05
5.62341325190345e+06	-3.19798036612388e-06,4.48734955127814e-05
6.30957344480189e+06	-2.01805184249764e-06,3.17845733141445e-05
7.07945784384133e+06	-1.27343626450328e-06,2.25110734262517e-05
7.94328234724276e+06	-8.03549936445083e-07,1.59418598443716e-05
8.91250938133739e+06	-5.07038798658758e-07,1.12889193142739e-05
9.99999999999993e+06	-3.19936425494812e-07,7.99359996965261e-06
1.12201845430195e+07	-2.01874542875583e-07,5.65996727362891e-06
1.25892541179416e+07	-1.27378388071700e-07,4.00747400181279e-06
1.41253754462274e+07	-8.03724157138573e-08,2.83736900971499e-06
1.58489319246110e+07	-5.07126115809863e-08,2.00886914221415e-06
1.77827941003891e+07	-3.19980187724770e-08,1.42226362790119e-06
1.99526231496886e+07	-2.01896475942943e-08,1.00693794271986e-06
